seed,policy,weather_scenario,day_type,baseline_access_group,agent_count,policy_digital_agent_count,policy_assisted_agent_count,policy_proxy_agent_count,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,planned_necessary_activities,completed_necessary_activities,mandatory_activity_incomplete,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,mean_total_travel_time,total_outdoor_exposure_minutes,total_heat_risk_burden
47,D0_baseline,W0,workday,18-39,20,20,0,0,5,5,0,9.7334,0,0,18,18,0,1.0,1,15,21,5,62.57369,894.737,0.0
47,D0_baseline,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,15,1,0.9375,0,19,14,0,70.055121,639.245,0.0
47,D0_baseline,W0,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,49.971182,189.728,0.0
47,D0_baseline,W0,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,10,1,0,56.266636,182.456,0.0
47,D0_baseline,W0,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D0_baseline,W2,workday,18-39,20,20,0,0,8,8,0,9.41675,0,0,18,18,0,1.0,1,6,25,8,63.2212,895.533,0.0
47,D0_baseline,W2,workday,40-59,17,17,0,0,4,4,0,10.95775,0,0,16,16,0,1.0,0,6,23,4,66.442364,742.826,0.0
47,D0_baseline,W2,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,53.922,189.728,0.0
47,D0_baseline,W2,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,8,3,0,59.049364,204.7,0.0
47,D0_baseline,W2,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D1_targeted_digital_training_75pct,W0,workday,18-39,20,20,0,0,5,5,0,9.7334,0,0,18,18,0,1.0,1,15,21,5,62.57369,894.737,0.0
47,D1_targeted_digital_training_75pct,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,15,1,0.9375,0,19,14,0,70.055121,639.245,0.0
47,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,49.971182,189.728,0.0
47,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_assisted,7,4,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,10,1,0,56.266636,182.456,0.0
47,D1_targeted_digital_training_75pct,W0,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D1_targeted_digital_training_75pct,W2,workday,18-39,20,20,0,0,8,8,0,9.41675,0,0,18,18,0,1.0,1,6,25,8,63.2212,895.533,0.0
47,D1_targeted_digital_training_75pct,W2,workday,40-59,17,17,0,0,4,4,0,10.95775,0,0,16,16,0,1.0,0,6,23,4,66.442364,742.826,0.0
47,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,53.922,189.728,0.0
47,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_assisted,7,4,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,8,3,0,59.049364,204.7,0.0
47,D1_targeted_digital_training_75pct,W2,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
47,D2_family_assistance_90pct,W0,workday,18-39,20,20,0,0,5,5,0,9.7334,0,0,18,18,0,1.0,1,15,21,5,62.57369,894.737,0.0
47,D2_family_assistance_90pct,W0,workday,40-59,17,17,0,0,0,0,0,0.0,0,0,16,15,1,0.9375,0,19,14,0,70.055121,639.245,0.0
47,D2_family_assistance_90pct,W0,workday,elder_baseline_digital,6,6,5,0,1,1,0,11.0,0,0,1,1,0,1.0,0,10,0,1,49.971182,189.728,0.0
47,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_assisted,7,0,7,0,0,0,0,0.0,0,0,3,3,0,1.0,0,10,1,0,56.266636,182.456,0.0
47,D2_family_assistance_90pct,W0,workday,elder_baseline_nondigital_unassisted,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0
