policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum
D0_baseline,W0,elder_digital_count,10,6.0,0.0,6.0,6.0,6.0
D0_baseline,W0,elder_assisted_count,10,8.5,1.840894,8.5,5.0,12.0
D0_baseline,W0,elder_community_proxy_count,10,0.0,0.0,0.0,0.0,0.0
D0_baseline,W0,newly_digital_elder_count,10,0.0,0.0,0.0,0.0,0.0
D0_baseline,W0,newly_assisted_elder_count,10,0.0,0.0,0.0,0.0,0.0
D0_baseline,W0,ride_hailing_requests,10,5.9,2.469818,6.0,2.0,11.0
D0_baseline,W0,successful_ride_hailing_requests,10,5.7,2.057507,6.0,2.0,9.0
D0_baseline,W0,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
D0_baseline,W0,mean_ride_hailing_wait_minutes_per_request,10,10.314456,1.644659,9.97235,8.0,13.200514
D0_baseline,W0,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
D0_baseline,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
D0_baseline,W0,mandatory_activity_incomplete,10,1.5,0.971825,1.0,1.0,4.0
D0_baseline,W0,necessary_activity_completion_rate,10,0.960009,0.025457,0.972598,0.894737,0.974359
D0_baseline,W0,walking_mode_share,10,0.016357,0.009945,0.01477,0.0,0.030612
D0_baseline,W0,bus_mode_share,10,0.536523,0.054945,0.538829,0.466667,0.618557
D0_baseline,W0,metro_mode_share,10,0.389297,0.05507,0.39898,0.307692,0.464646
D0_baseline,W0,ride_hailing_mode_share,10,0.057822,0.021138,0.061856,0.019048,0.094737
D0_baseline,W0,road_vehicle_volume,10,1024.641,2.057507,1024.941,1020.941,1027.941
D0_baseline,W0,mean_total_travel_time,10,63.0522,2.355268,63.0305,60.45,68.898
D0_baseline,W0,total_system_wait_minutes,10,735.9216,53.314723,745.401,662.052,839.882
D0_baseline,W0,total_outdoor_exposure_minutes,10,2033.8492,128.462852,2072.2835,1836.614,2256.495
D0_baseline,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
D0_baseline,W2,elder_digital_count,10,6.0,0.0,6.0,6.0,6.0
D0_baseline,W2,elder_assisted_count,10,8.5,1.840894,8.5,5.0,12.0
D0_baseline,W2,elder_community_proxy_count,10,0.0,0.0,0.0,0.0,0.0
D0_baseline,W2,newly_digital_elder_count,10,0.0,0.0,0.0,0.0,0.0
D0_baseline,W2,newly_assisted_elder_count,10,0.0,0.0,0.0,0.0,0.0
D0_baseline,W2,ride_hailing_requests,10,13.0,3.464102,13.5,7.0,18.0
D0_baseline,W2,successful_ride_hailing_requests,10,11.6,2.951459,12.0,7.0,17.0
D0_baseline,W2,ride_hailing_failed,10,1.4,2.221111,0.5,0.0,6.0
D0_baseline,W2,mean_ride_hailing_wait_minutes_per_request,10,11.968436,1.628936,12.045554,9.6667,14.478067
D0_baseline,W2,fallback_attempts,10,1.4,2.221111,0.5,0.0,6.0
