seed,policy,vehicle_conservation_passed,vehicle_assignments_nonoverlapping_passed,request_time_then_policy_order_passed,pending_queue_policy_order_passed,common_base_dispatch_priority_passed,passed
47,P0_first_come,True,True,True,True,True,True
47,P4_elder_priority,True,True,True,True,True,True
48,P0_first_come,True,True,True,True,True,True
48,P4_elder_priority,True,True,True,True,True,True
49,P0_first_come,True,True,True,True,True,True
49,P4_elder_priority,True,True,True,True,True,True
50,P0_first_come,True,True,True,True,True,True
50,P4_elder_priority,True,True,True,True,True,True
51,P0_first_come,True,True,True,True,True,True
51,P4_elder_priority,True,True,True,True,True,True
52,P0_first_come,True,True,True,True,True,True
52,P4_elder_priority,True,True,True,True,True,True
53,P0_first_come,True,True,True,True,True,True
53,P4_elder_priority,True,True,True,True,True,True
54,P0_first_come,True,True,True,True,True,True
54,P4_elder_priority,True,True,True,True,True,True
55,P0_first_come,True,True,True,True,True,True
55,P4_elder_priority,True,True,True,True,True,True
56,P0_first_come,True,True,True,True,True,True
56,P4_elder_priority,True,True,True,True,True,True
