seed,policy,weather_scenario,day_type,group,agent_count,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_success_rate,mean_ride_hailing_wait_minutes_per_request,fallback_attempts,transport_unmet,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,mean_total_travel_time,total_outdoor_exposure_minutes,total_heat_risk_burden
47,P0_first_come,W0,workday,18-39,20,5,5,0,1.0,9.7334,0,0,18,18,1.0,1,15,21,5,62.57369,894.737,0.0
47,P0_first_come,W0,workday,40-59,17,0,0,0,,0.0,0,0,16,15,0.9375,0,19,14,0,70.055121,639.245,0.0
47,P0_first_come,W0,workday,elder_digital,6,1,1,0,1.0,11.0,0,0,1,1,1.0,0,10,0,1,49.971182,189.728,0.0
47,P0_first_come,W0,workday,elder_nondigital_assisted,7,0,0,0,,0.0,0,0,3,3,1.0,0,10,1,0,56.266636,182.456,0.0
47,P0_first_come,W0,workday,elder_nondigital_unassisted,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0.0,0,0
47,P0_first_come,W2,workday,18-39,20,8,8,0,1.0,9.41675,0,0,18,18,1.0,1,6,25,8,63.2212,895.533,0.0
47,P0_first_come,W2,workday,40-59,17,4,4,0,1.0,10.95775,0,0,16,16,1.0,0,6,23,4,66.442364,742.826,0.0
47,P0_first_come,W2,workday,elder_digital,6,1,1,0,1.0,11.0,0,0,1,1,1.0,0,10,0,1,53.922,189.728,0.0
47,P0_first_come,W2,workday,elder_nondigital_assisted,7,0,0,0,,0.0,0,0,3,3,1.0,0,8,3,0,59.049364,204.7,0.0
47,P0_first_come,W2,workday,elder_nondigital_unassisted,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0.0,0,0
47,P4_elder_priority,W0,workday,18-39,20,5,5,0,1.0,9.7334,0,0,18,18,1.0,1,15,21,5,62.57369,894.737,0.0
47,P4_elder_priority,W0,workday,40-59,17,0,0,0,,0.0,0,0,16,15,0.9375,0,19,14,0,70.055121,639.245,0.0
47,P4_elder_priority,W0,workday,elder_digital,6,1,1,0,1.0,11.0,0,0,1,1,1.0,0,10,0,1,49.971182,189.728,0.0
47,P4_elder_priority,W0,workday,elder_nondigital_assisted,7,0,0,0,,0.0,0,0,3,3,1.0,0,10,1,0,56.266636,182.456,0.0
47,P4_elder_priority,W0,workday,elder_nondigital_unassisted,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0.0,0,0
47,P4_elder_priority,W2,workday,18-39,20,8,8,0,1.0,9.41675,0,0,18,18,1.0,1,6,25,8,63.2212,895.533,0.0
47,P4_elder_priority,W2,workday,40-59,17,4,4,0,1.0,10.95775,0,0,16,16,1.0,0,6,23,4,66.442364,742.826,0.0
47,P4_elder_priority,W2,workday,elder_digital,6,1,1,0,1.0,11.0,0,0,1,1,1.0,0,10,0,1,53.922,189.728,0.0
47,P4_elder_priority,W2,workday,elder_nondigital_assisted,7,0,0,0,,0.0,0,0,3,3,1.0,0,8,3,0,59.049364,204.7,0.0
47,P4_elder_priority,W2,workday,elder_nondigital_unassisted,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0.0,0,0
48,P0_first_come,W0,workday,18-39,20,2,2,0,1.0,8.0,0,0,18,18,1.0,3,18,23,2,68.942739,1044.495,0.0
48,P0_first_come,W0,workday,40-59,17,1,1,0,1.0,8.0,0,0,16,15,0.9375,0,21,12,1,69.645265,666.08,0.0
48,P0_first_come,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,5,1,0,56.264,87.968,0.0
48,P0_first_come,W0,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,1,1,1.0,0,8,0,0,70.335625,162.214,0.0
48,P0_first_come,W0,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,1,1,1.0,0,1,3,0,78.1,93.131,0.0
48,P0_first_come,W2,workday,18-39,20,6,5,1,0.833333,10.277667,1,0,18,18,1.0,2,8,31,5,67.575609,1137.643,0.0
48,P0_first_come,W2,workday,40-59,17,3,3,0,1.0,13.259,0,0,16,16,1.0,0,11,19,3,69.780879,745.886,0.0
48,P0_first_come,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,5,1,0,62.149167,88.3,0.0
48,P0_first_come,W2,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,1,1,1.0,0,7,1,0,75.52925,173.385,0.0
48,P0_first_come,W2,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,1,1,1.0,0,1,3,0,80.7485,93.131,0.0
48,P4_elder_priority,W0,workday,18-39,20,2,2,0,1.0,8.0,0,0,18,18,1.0,3,18,23,2,68.942739,1044.495,0.0
48,P4_elder_priority,W0,workday,40-59,17,1,1,0,1.0,8.0,0,0,16,15,0.9375,0,21,12,1,69.645265,666.08,0.0
48,P4_elder_priority,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,5,1,0,56.264,87.968,0.0
48,P4_elder_priority,W0,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,1,1,1.0,0,8,0,0,70.335625,162.214,0.0
48,P4_elder_priority,W0,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,1,1,1.0,0,1,3,0,78.1,93.131,0.0
48,P4_elder_priority,W2,workday,18-39,20,6,5,1,0.833333,10.277667,1,0,18,18,1.0,2,8,31,5,67.575609,1137.643,0.0
48,P4_elder_priority,W2,workday,40-59,17,3,3,0,1.0,13.259,0,0,16,16,1.0,0,11,19,3,69.780879,745.886,0.0
48,P4_elder_priority,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,5,1,0,62.149167,88.3,0.0
48,P4_elder_priority,W2,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,1,1,1.0,0,7,1,0,75.52925,173.385,0.0
48,P4_elder_priority,W2,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,1,1,1.0,0,1,3,0,80.7485,93.131,0.0
49,P0_first_come,W0,workday,18-39,20,3,3,0,1.0,9.787,0,0,18,18,1.0,2,26,18,3,58.147367,1042.321,0.0
49,P0_first_come,W0,workday,40-59,17,4,4,0,1.0,9.96175,0,0,16,15,0.9375,0,21,12,4,72.986,707.972,0.0
49,P0_first_come,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,1,1,1.0,0,10,2,0,59.249167,215.869,0.0
49,P0_first_come,W0,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,1,1,1.0,0,4,0,0,66.42575,78.5,0.0
49,P0_first_come,W0,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,0,0,,0,2,0,0,55.0285,68.0,0.0
49,P0_first_come,W2,workday,18-39,20,9,4,5,0.444444,15.391778,5,0,18,16,0.888889,1,21,21,4,61.52983,1118.759,0.0
49,P0_first_come,W2,workday,40-59,17,6,6,0,1.0,13.1075,0,0,16,16,1.0,0,10,20,6,77.210556,834.655,0.0
49,P0_first_come,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,1,1,1.0,0,10,2,0,62.828083,215.869,0.0
49,P0_first_come,W2,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,1,1,1.0,0,4,0,0,72.09575,78.5,0.0
49,P0_first_come,W2,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,0,0,,0,2,0,0,56.205,68.0,0.0
49,P4_elder_priority,W0,workday,18-39,20,3,3,0,1.0,9.787,0,0,18,18,1.0,2,26,18,3,58.147367,1042.321,0.0
49,P4_elder_priority,W0,workday,40-59,17,4,4,0,1.0,9.96175,0,0,16,15,0.9375,0,21,12,4,72.986,707.972,0.0
49,P4_elder_priority,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,1,1,1.0,0,10,2,0,59.249167,215.869,0.0
49,P4_elder_priority,W0,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,1,1,1.0,0,4,0,0,66.42575,78.5,0.0
49,P4_elder_priority,W0,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,0,0,,0,2,0,0,55.0285,68.0,0.0
49,P4_elder_priority,W2,workday,18-39,20,9,4,5,0.444444,15.391778,5,0,18,16,0.888889,1,21,21,4,61.52983,1118.759,0.0
49,P4_elder_priority,W2,workday,40-59,17,6,6,0,1.0,13.1075,0,0,16,16,1.0,0,10,20,6,77.210556,834.655,0.0
49,P4_elder_priority,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,1,1,1.0,0,10,2,0,62.828083,215.869,0.0
49,P4_elder_priority,W2,workday,elder_nondigital_assisted,5,0,0,0,,0.0,0,0,1,1,1.0,0,4,0,0,72.09575,78.5,0.0
49,P4_elder_priority,W2,workday,elder_nondigital_unassisted,2,0,0,0,,0.0,0,0,0,0,,0,2,0,0,56.205,68.0,0.0
50,P0_first_come,W0,workday,18-39,20,6,6,0,1.0,8.889,0,0,18,17,0.944444,1,15,28,6,64.24758,1169.481,0.0
50,P0_first_come,W0,workday,40-59,17,1,1,0,1.0,10.0,0,0,16,16,1.0,0,21,13,1,67.070229,689.534,0.0
50,P0_first_come,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,0,0,,0,7,1,0,61.0775,171.966,0.0
50,P0_first_come,W0,workday,elder_nondigital_assisted,6,0,0,0,,0.0,0,0,0,0,,0,9,1,0,46.1233,166.514,0.0
50,P0_first_come,W0,workday,elder_nondigital_unassisted,1,0,0,0,,0.0,0,0,1,1,1.0,0,2,1,0,76.906333,59.0,0.0
50,P0_first_come,W2,workday,18-39,20,8,8,0,1.0,9.66675,0,0,18,17,0.944444,1,7,28,8,65.020023,1074.551,0.0
50,P0_first_come,W2,workday,40-59,17,2,2,0,1.0,9.6665,0,0,16,16,1.0,0,10,20,2,67.000687,707.917,0.0
50,P0_first_come,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,0,0,,0,6,2,0,68.338,188.466,0.0
50,P0_first_come,W2,workday,elder_nondigital_assisted,6,0,0,0,,0.0,0,0,0,0,,0,8,2,0,47.9742,174.572,0.0
50,P0_first_come,W2,workday,elder_nondigital_unassisted,1,0,0,0,,0.0,0,0,1,1,1.0,0,2,1,0,86.627333,59.0,0.0
50,P4_elder_priority,W0,workday,18-39,20,6,6,0,1.0,8.889,0,0,18,17,0.944444,1,15,28,6,64.24758,1169.481,0.0
50,P4_elder_priority,W0,workday,40-59,17,1,1,0,1.0,10.0,0,0,16,16,1.0,0,21,13,1,67.070229,689.534,0.0
50,P4_elder_priority,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,0,0,,0,7,1,0,61.0775,171.966,0.0
50,P4_elder_priority,W0,workday,elder_nondigital_assisted,6,0,0,0,,0.0,0,0,0,0,,0,9,1,0,46.1233,166.514,0.0
50,P4_elder_priority,W0,workday,elder_nondigital_unassisted,1,0,0,0,,0.0,0,0,1,1,1.0,0,2,1,0,76.906333,59.0,0.0
50,P4_elder_priority,W2,workday,18-39,20,8,8,0,1.0,9.66675,0,0,18,17,0.944444,1,7,28,8,65.020023,1074.551,0.0
50,P4_elder_priority,W2,workday,40-59,17,2,2,0,1.0,9.6665,0,0,16,16,1.0,0,10,20,2,67.000687,707.917,0.0
50,P4_elder_priority,W2,workday,elder_digital,6,0,0,0,,0.0,0,0,0,0,,0,6,2,0,68.338,188.466,0.0
50,P4_elder_priority,W2,workday,elder_nondigital_assisted,6,0,0,0,,0.0,0,0,0,0,,0,8,2,0,47.9742,174.572,0.0
50,P4_elder_priority,W2,workday,elder_nondigital_unassisted,1,0,0,0,,0.0,0,0,1,1,1.0,0,2,1,0,86.627333,59.0,0.0
51,P0_first_come,W0,workday,18-39,20,5,5,0,1.0,10.0002,0,0,18,17,0.944444,2,18,20,5,57.376911,956.093,0.0
51,P0_first_come,W0,workday,40-59,17,0,0,0,,0.0,0,0,16,16,1.0,0,13,19,0,68.8695,743.694,0.0
51,P0_first_come,W0,workday,elder_digital,6,0,0,0,,0.0,0,0,2,2,1.0,0,6,0,0,64.9735,82.58,0.0
