leg_id,agent_id,request_time,dispatch_priority,dispatch_priority_policy,dispatch_priority_group_rank,effective_dispatch_priority,age_group,origin_zone,destination_zone,coupon_bound,fare_before_coupon_yuan,fare_after_coupon_yuan,coupon_subsidy_yuan,succeeded,failure_reason,dispatch_time,pickup_wait_min,queue_wait_min,pending_queue_size_at_dispatch,dispatch_sequence,vehicle_id,idle_vehicles_at_request,busy_start,busy_until,previous_busy_until,idle_vehicles_after_dispatch,weather_scenario,day_type,policy,experiment_condition,seed,priority_policy
16-2026-07-07-L01,16,533.35,0.57786575,P0_first_come,0,0.57786575,18-39,Z1,Z3,False,26.52,26.52,0.0,True,,533.35,10.0,0.0,1,1,N9RH-workday-Z1-001,2,533.35,559.984134,0.0,1,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
42-2026-07-07-L02,42,1050.0,0.687664051,P0_first_come,0,0.687664051,60+,Z2,Z2,False,20.57,20.57,0.0,True,,1050.0,11.0,0.0,1,2,N9RH-workday-Z2-001,2,1050.0,1072.850364,0.0,1,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
8-2026-07-07-L02,8,1080.0,0.675503416,P0_first_come,0,0.675503416,18-39,Z6,Z6,False,24.51,24.51,0.0,True,,1080.0,14.667,0.0,1,3,N9RH-workday-Z6-001,1,1080.0,1109.696408,0.0,0,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
13-2026-07-07-L02,13,1168.3833333333334,0.995584516,P0_first_come,0,0.995584516,18-39,Z2,Z2,False,22.99,22.99,0.0,True,,1168.3833333333334,8.0,0.0,1,4,N9RH-workday-Z2-001,2,1168.3833333333334,1189.9956243333334,1072.850364,1,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
1-2026-07-07-L02,1,1170.0,0.7824326,P0_first_come,0,0.7824326,18-39,Z1,Z3,False,26.52,26.52,0.0,True,,1170.0,8.0,0.0,1,5,N9RH-workday-Z1-002,1,1170.0,1194.426547,0.0,0,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
13-2026-07-07-L03,13,1260.0,0.597322975,P0_first_come,0,0.597322975,18-39,Z2,Z2,False,18.18,18.18,0.0,True,,1260.0,8.0,0.0,1,6,N9RH-workday-Z2-001,2,1260.0,1276.272992,1189.9956243333334,1,W0,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
32-2026-07-07-L01,32,453.3,0.067648457,P0_first_come,0,0.067648457,40-59,Z3,Z2,False,46.83,46.83,0.0,True,,453.3,7.0,0.0,1,1,N9RH-workday-Z3-001,1,453.3,501.614478,0.0,0,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
35-2026-07-07-L01,35,472.4166666666667,0.226702172,P0_first_come,0,0.226702172,40-59,Z2,Z1,False,26.21,26.21,0.0,True,,472.4166666666667,7.609,0.0,1,2,N9RH-workday-Z2-001,2,472.4166666666667,500.62667166666665,0.0,1,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
16-2026-07-07-L01,16,528.9166666666666,0.57786575,P0_first_come,0,0.57786575,18-39,Z1,Z3,False,26.52,26.52,0.0,True,,528.9166666666666,10.0,0.0,1,3,N9RH-workday-Z1-001,3,528.9166666666666,560.0087706666666,0.0,2,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
21-2026-07-07-L01,21,529.7,0.812074546,P0_first_come,0,0.812074546,40-59,Z9,Z6,False,72.16,72.16,0.0,True,,529.7,21.722,0.0,1,4,N9RH-workday-Z9-001,1,529.7,615.915849,0.0,0,W2,workday,P0_no_policy,elder_dispatch_P0_first_come,47,P0_first_come
