policy,weather_scenario,metric,seed_count,mean,std_dev,median,minimum,maximum
P0_first_come,W0,ride_hailing_requests,10,5.9,2.469818,6.0,2.0,11.0
P0_first_come,W0,successful_ride_hailing_requests,10,5.7,2.057507,6.0,2.0,9.0
P0_first_come,W0,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
P0_first_come,W0,mean_ride_hailing_wait_minutes_per_request,10,10.314456,1.644659,9.97235,8.0,13.200514
P0_first_come,W0,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
P0_first_come,W0,fallback_succeeded,10,0.2,0.632456,0.0,0.0,2.0
P0_first_come,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
P0_first_come,W0,mandatory_activity_incomplete,10,1.5,0.971825,1.0,1.0,4.0
P0_first_come,W0,necessary_activity_completion_rate,10,0.960009,0.025457,0.972598,0.894737,0.974359
P0_first_come,W0,walking_mode_share,10,0.016357,0.009945,0.01477,0.0,0.030612
P0_first_come,W0,bus_mode_share,10,0.536523,0.054945,0.538829,0.466667,0.618557
P0_first_come,W0,metro_mode_share,10,0.389297,0.05507,0.39898,0.307692,0.464646
P0_first_come,W0,ride_hailing_mode_share,10,0.057822,0.021138,0.061856,0.019048,0.094737
P0_first_come,W0,mean_total_travel_time,10,63.0522,2.355268,63.0305,60.45,68.898
P0_first_come,W0,road_vehicle_volume,10,1024.641,2.057507,1024.941,1020.941,1027.941
P0_first_come,W0,mean_road_speed_kmh,10,17.4104,0.476344,17.573,16.626,18.022
P0_first_come,W0,total_system_wait_minutes,10,735.9216,53.314723,745.401,662.052,839.882
P0_first_come,W0,total_outdoor_exposure_minutes,10,1864.9582,115.24566,1887.7365,1699.967,2068.253
P0_first_come,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
P0_first_come,W2,ride_hailing_requests,10,13.5,3.135815,14.0,8.0,18.0
P0_first_come,W2,successful_ride_hailing_requests,10,12.2,2.65832,12.0,8.0,17.0
P0_first_come,W2,ride_hailing_failed,10,1.3,2.263233,0.0,0.0,6.0
P0_first_come,W2,mean_ride_hailing_wait_minutes_per_request,10,11.731037,1.777467,12.045554,9.515182,14.478067
P0_first_come,W2,fallback_attempts,10,1.3,2.263233,0.0,0.0,6.0
P0_first_come,W2,fallback_succeeded,10,1.3,2.263233,0.0,0.0,6.0
P0_first_come,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
P0_first_come,W2,mandatory_activity_incomplete,10,1.2,1.032796,1.0,0.0,3.0
P0_first_come,W2,necessary_activity_completion_rate,10,0.967757,0.027526,0.972201,0.921053,1.0
P0_first_come,W2,walking_mode_share,10,0.007275,0.006991,0.010105,0.0,0.020619
P0_first_come,W2,bus_mode_share,10,0.371917,0.056271,0.358591,0.306818,0.465347
P0_first_come,W2,metro_mode_share,10,0.490589,0.049565,0.507425,0.419355,0.556701
P0_first_come,W2,ride_hailing_mode_share,10,0.13022,0.033435,0.131183,0.079208,0.188889
P0_first_come,W2,mean_total_travel_time,10,65.339,2.339241,65.0535,61.751,69.546
P0_first_come,W2,road_vehicle_volume,10,1031.141,2.65832,1030.941,1026.941,1035.941
P0_first_come,W2,mean_road_speed_kmh,10,16.9628,0.809348,16.8375,16.074,18.403
P0_first_come,W2,total_system_wait_minutes,10,828.4118,68.17366,822.9975,763.502,996.214
P0_first_come,W2,total_outdoor_exposure_minutes,10,1964.2776,143.664215,1938.7985,1781.756,2234.357
P0_first_come,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
P4_elder_priority,W0,ride_hailing_requests,10,5.9,2.469818,6.0,2.0,11.0
P4_elder_priority,W0,successful_ride_hailing_requests,10,5.7,2.057507,6.0,2.0,9.0
P4_elder_priority,W0,ride_hailing_failed,10,0.2,0.632456,0.0,0.0,2.0
P4_elder_priority,W0,mean_ride_hailing_wait_minutes_per_request,10,10.314456,1.644659,9.97235,8.0,13.200514
P4_elder_priority,W0,fallback_attempts,10,0.2,0.632456,0.0,0.0,2.0
P4_elder_priority,W0,fallback_succeeded,10,0.2,0.632456,0.0,0.0,2.0
P4_elder_priority,W0,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
P4_elder_priority,W0,mandatory_activity_incomplete,10,1.5,0.971825,1.0,1.0,4.0
P4_elder_priority,W0,necessary_activity_completion_rate,10,0.960009,0.025457,0.972598,0.894737,0.974359
P4_elder_priority,W0,walking_mode_share,10,0.016357,0.009945,0.01477,0.0,0.030612
P4_elder_priority,W0,bus_mode_share,10,0.536523,0.054945,0.538829,0.466667,0.618557
P4_elder_priority,W0,metro_mode_share,10,0.389297,0.05507,0.39898,0.307692,0.464646
P4_elder_priority,W0,ride_hailing_mode_share,10,0.057822,0.021138,0.061856,0.019048,0.094737
P4_elder_priority,W0,mean_total_travel_time,10,63.0522,2.355268,63.0305,60.45,68.898
P4_elder_priority,W0,road_vehicle_volume,10,1024.641,2.057507,1024.941,1020.941,1027.941
P4_elder_priority,W0,mean_road_speed_kmh,10,17.4104,0.476344,17.573,16.626,18.022
P4_elder_priority,W0,total_system_wait_minutes,10,735.9216,53.314723,745.401,662.052,839.882
P4_elder_priority,W0,total_outdoor_exposure_minutes,10,1864.9582,115.24566,1887.7365,1699.967,2068.253
P4_elder_priority,W0,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
P4_elder_priority,W2,ride_hailing_requests,10,13.5,3.135815,14.0,8.0,18.0
P4_elder_priority,W2,successful_ride_hailing_requests,10,12.2,2.65832,12.0,8.0,17.0
P4_elder_priority,W2,ride_hailing_failed,10,1.3,2.263233,0.0,0.0,6.0
P4_elder_priority,W2,mean_ride_hailing_wait_minutes_per_request,10,11.731037,1.777467,12.045554,9.515182,14.478067
P4_elder_priority,W2,fallback_attempts,10,1.3,2.263233,0.0,0.0,6.0
P4_elder_priority,W2,fallback_succeeded,10,1.3,2.263233,0.0,0.0,6.0
P4_elder_priority,W2,transport_unmet,10,0.0,0.0,0.0,0.0,0.0
P4_elder_priority,W2,mandatory_activity_incomplete,10,1.2,1.032796,1.0,0.0,3.0
P4_elder_priority,W2,necessary_activity_completion_rate,10,0.967757,0.027526,0.972201,0.921053,1.0
P4_elder_priority,W2,walking_mode_share,10,0.007275,0.006991,0.010105,0.0,0.020619
P4_elder_priority,W2,bus_mode_share,10,0.371917,0.056271,0.358591,0.306818,0.465347
P4_elder_priority,W2,metro_mode_share,10,0.490589,0.049565,0.507425,0.419355,0.556701
P4_elder_priority,W2,ride_hailing_mode_share,10,0.13022,0.033435,0.131183,0.079208,0.188889
P4_elder_priority,W2,mean_total_travel_time,10,65.339,2.339241,65.0535,61.751,69.546
P4_elder_priority,W2,road_vehicle_volume,10,1031.141,2.65832,1030.941,1026.941,1035.941
P4_elder_priority,W2,mean_road_speed_kmh,10,16.9628,0.809348,16.8375,16.074,18.403
P4_elder_priority,W2,total_system_wait_minutes,10,828.4118,68.17366,822.9975,763.502,996.214
P4_elder_priority,W2,total_outdoor_exposure_minutes,10,1964.2776,143.664215,1938.7985,1781.756,2234.357
P4_elder_priority,W2,total_heat_risk_burden,10,0.0,0.0,0.0,0.0,0.0
