policy,baseline_policy,weather_scenario,group,metric,baseline_mean,policy_mean,absolute_change,percent_change,percent_change_defined,undefined_reason
P4_elder_priority,P0_first_come,W0,,ride_hailing_requests,5.9,5.9,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,successful_ride_hailing_requests,5.7,5.7,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,ride_hailing_failed,0.2,0.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,mean_ride_hailing_wait_minutes_per_request,10.314456,10.314456,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,fallback_attempts,0.2,0.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,fallback_succeeded,0.2,0.2,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W0,,mandatory_activity_incomplete,1.5,1.5,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,necessary_activity_completion_rate,0.960009,0.960009,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,walking_mode_share,0.016357,0.016357,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,bus_mode_share,0.536523,0.536523,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,metro_mode_share,0.389297,0.389297,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,ride_hailing_mode_share,0.057822,0.057822,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,mean_total_travel_time,63.0522,63.0522,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,road_vehicle_volume,1024.641,1024.641,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,mean_road_speed_kmh,17.4104,17.4104,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,total_system_wait_minutes,735.9216,735.9216,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,total_outdoor_exposure_minutes,2033.8492,2033.8492,0.0,0.0,True,
P4_elder_priority,P0_first_come,W0,,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,,ride_hailing_requests,13.0,13.0,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,successful_ride_hailing_requests,11.6,11.6,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,ride_hailing_failed,1.4,1.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,mean_ride_hailing_wait_minutes_per_request,11.968436,11.968436,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,fallback_attempts,1.4,1.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,fallback_succeeded,1.4,1.4,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,transport_unmet,0.0,0.0,0.0,,False,baseline_zero
P4_elder_priority,P0_first_come,W2,,mandatory_activity_incomplete,1.1,1.1,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,necessary_activity_completion_rate,0.97046,0.97046,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,walking_mode_share,0.007275,0.007275,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,bus_mode_share,0.367553,0.367553,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,metro_mode_share,0.501236,0.501236,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,ride_hailing_mode_share,0.123937,0.123937,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,mean_total_travel_time,64.2165,64.2165,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,road_vehicle_volume,1030.541,1030.541,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,mean_road_speed_kmh,16.9105,16.9105,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,total_system_wait_minutes,831.1347,831.1347,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,total_outdoor_exposure_minutes,2071.9603,2071.9603,0.0,0.0,True,
P4_elder_priority,P0_first_come,W2,,total_heat_risk_burden,0.0,0.0,0.0,,False,baseline_zero
