vehicle_total,weather_scenario,metric,mean,std_dev,median,minimum,maximum
16,W0,ride_hailing_requests,5.9,2.469818,6.0,2.0,11.0
16,W0,successful_ride_hailing_requests,5.8,2.250926,6.0,2.0,10.0
16,W0,ride_hailing_failed,0.1,0.316228,0.0,0.0,1.0
16,W0,mean_ride_hailing_wait_minutes_per_request,9.988567,1.167368,9.97235,8.0,12.273818
16,W0,max_ride_hailing_wait_minutes,13.1335,3.236287,12.0,10.0,20.0
16,W0,fallback_attempts,0.1,0.316228,0.0,0.0,1.0
16,W0,fallback_succeeded,0.1,0.316228,0.0,0.0,1.0
16,W0,fallback_failed,0.0,0.0,0.0,0.0,0.0
16,W0,late_but_reached,1.4,0.843274,1.0,0.0,3.0
16,W0,transport_unmet,0.0,0.0,0.0,0.0,0.0
16,W0,mandatory_activity_incomplete,1.4,0.699206,1.0,1.0,3.0
16,W0,activity_completion_rate,0.970433,0.012858,0.972917,0.942308,0.981818
16,W0,necessary_activity_completion_rate,0.96264,0.01832,0.972598,0.921053,0.974359
16,W0,walking_mode_share,0.016357,0.009945,0.01477,0.0,0.030612
16,W0,bus_mode_share,0.535471,0.055039,0.533566,0.466667,0.618557
16,W0,metro_mode_share,0.389297,0.05507,0.39898,0.307692,0.464646
16,W0,ride_hailing_mode_share,0.058875,0.023329,0.061856,0.019048,0.105263
16,W0,mean_total_travel_time,62.9922,2.415114,63.0305,60.263,68.898
16,W0,mean_road_speed_kmh,17.4312,0.500348,17.573,16.626,18.032
16,W2,ride_hailing_requests,13.0,3.464102,13.5,7.0,18.0
16,W2,successful_ride_hailing_requests,12.6,3.339993,13.5,7.0,17.0
16,W2,ride_hailing_failed,0.4,0.699206,0.0,0.0,2.0
16,W2,mean_ride_hailing_wait_minutes_per_request,11.210178,0.961303,11.39381,9.6667,12.50297
16,W2,max_ride_hailing_wait_minutes,19.543658,4.567498,20.6195,13.333,27.903584
16,W2,fallback_attempts,0.4,0.699206,0.0,0.0,2.0
16,W2,fallback_succeeded,0.4,0.699206,0.0,0.0,2.0
16,W2,fallback_failed,0.0,0.0,0.0,0.0,0.0
16,W2,late_but_reached,0.8,0.632456,1.0,0.0,2.0
16,W2,transport_unmet,0.0,0.0,0.0,0.0,0.0
16,W2,mandatory_activity_incomplete,0.7,0.823273,0.5,0.0,2.0
16,W2,activity_completion_rate,0.961458,0.025985,0.961538,0.928571,1.0
16,W2,necessary_activity_completion_rate,0.981211,0.021826,0.986487,0.947368,1.0
16,W2,walking_mode_share,0.007275,0.006991,0.010105,0.0,0.020619
16,W2,bus_mode_share,0.357237,0.042922,0.347881,0.295455,0.415842
16,W2,metro_mode_share,0.501236,0.053497,0.517931,0.419355,0.56701
16,W2,ride_hailing_mode_share,0.134252,0.03848,0.142678,0.069307,0.188889
16,W2,mean_total_travel_time,63.6829,2.503013,63.4755,60.324,69.189
