seed,policy,experiment_condition,weather_scenario,weather_type,day_type,agent_count,planned_activities,completed_activities,activity_completion_rate,planned_necessary_activities,completed_necessary_activities,necessary_activity_completion_rate,weather_cancelled_activities,transport_unmet_activities,necessary_transport_unmet_activities,planned_legs,successful_legs,transport_unmet_legs,transport_success_rate,walking_legs,bus_legs,metro_legs,ride_hailing_legs,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,ride_hailing_requests,successful_ride_hailing_requests,failed_ride_hailing_requests,ride_hailing_failed,fallback_attempts,fallback_successes,fallback_succeeded,fallback_failed,late_but_reached,reached_but_activity_incomplete,transport_unmet,mandatory_activity_incomplete,mean_bus_wait_minutes,mean_metro_wait_minutes,bus_metro_transfer_legs,bus_metro_transfer_share_of_metro,mean_feeder_bus_time_minutes,mean_ride_hailing_wait_minutes,mean_total_travel_time,mean_fare_yuan,on_time_arrivals,on_time_arrival_rate,bus_activity_arrivals,bus_late_arrivals,bus_late_arrival_rate,interzonal_metro_legs,interzonal_metro_share,scheduled_bus_vehicle_trips,bus_demand,bus_feeder_boardings,total_bus_passenger_boardings,successful_ride_hailing_vehicle_trips,road_vehicle_volume,mean_volume_capacity_ratio,mean_road_speed_kmh,intrazonal_successful_legs,interzonal_successful_legs,initial_ride_hailing_vehicles,end_idle_vehicles,end_busy_vehicles,end_idle_by_zone,feedback_flow_is_first_round_successful_rides,metro_enabled,weather_exposed_activities,remote_work,travel_required_activities,transport_related_unmet,necessary_transport_related_unmet,total_outdoor_exposure_minutes,total_heat_hazard_dose_c_min,total_heat_risk_burden,necessary_heat_risk_burden,heat_risk_per_completed_travel_required_necessary_activity,heat_risk_per_planned_travel_required_necessary_activity,total_rain_exposure_minutes,total_system_wait_minutes,vehicle_total,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,no_vehicle_failures,wait_limit_failures,non_capacity_failures,competition_event,collapse_event
47,P0_no_policy,fleet_16,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,718.941,54,21,75,6,724.941,0.72765,17.272,34,63,16,16,0,"{""Z1"": 1, ""Z2"": 2, ""Z3"": 4, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 3, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541,16,9.9445,14.667,0,0,0,False,False
47,P0_no_policy,fleet_16,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,30,51,13,0.010526,0.315789,0.536842,0.136842,13,13,0,0,0,0,0,0,0,0,0,0,7.06,8.376,31,0.607843,29.353,10.013,62.78,8.449,51,1.0,13,0,0.0,46,0.730159,718.941,30,37,67,13,731.941,0.761688,17.302,32,63,16,16,0,"{""Z1"": 1, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 2, ""Z6"": 3, ""Z7"": 3, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,2032.787,0.0,0.0,0.0,0.0,0.0,1378.525844,769.162,16,10.012692,21.722,0,0,0,False,False
47,P0_no_policy,fleet_12,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,718.941,54,21,75,6,724.941,0.72765,17.272,34,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 3, ""Z4"": 1, ""Z5"": 1, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541,12,9.9445,14.667,0,0,0,False,False
47,P0_no_policy,fleet_12,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,30,51,13,0.010526,0.315789,0.536842,0.136842,13,13,0,0,0,0,0,0,0,0,0,0,7.06,8.376,31,0.607843,29.353,10.013,62.78,8.449,51,1.0,13,0,0.0,46,0.730159,718.941,30,37,67,13,731.941,0.761688,17.302,32,63,12,12,0,"{""Z1"": 0, ""Z2"": 2, ""Z3"": 2, ""Z4"": 1, ""Z5"": 2, ""Z6"": 2, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,2032.787,0.0,0.0,0.0,0.0,0.0,1378.525844,769.162,12,10.012692,21.722,0,0,0,False,False
47,P0_no_policy,fleet_10,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,718.941,54,21,75,6,724.941,0.72765,17.272,34,63,10,10,0,"{""Z1"": 0, ""Z2"": 1, ""Z3"": 3, ""Z4"": 1, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 1, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541,10,9.9445,14.667,0,0,0,False,False
47,P0_no_policy,fleet_10,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,30,51,13,0.010526,0.315789,0.536842,0.136842,13,13,0,0,0,0,0,0,0,0,0,0,7.06,8.376,31,0.607843,29.353,10.013,62.78,8.449,51,1.0,13,0,0.0,46,0.730159,718.941,30,37,67,13,731.941,0.761688,17.302,32,63,10,10,0,"{""Z1"": 0, ""Z2"": 1, ""Z3"": 2, ""Z4"": 1, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 1, ""Z9"": 0}",True,True,39,1,51,0,0,2032.787,0.0,0.0,0.0,0.0,0.0,1378.525844,769.162,10,10.012692,21.722,0,0,0,False,False
47,P0_no_policy,fleet_8,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,36,6,0.010309,0.556701,0.371134,0.061856,6,6,0,0,0,0,0,0,2,1,0,1,6.521,7.632,19,0.527778,25.456,9.944,62.975,4.735,50,0.961538,29,2,0.068966,32,0.507937,718.941,54,21,75,6,724.941,0.72765,17.272,34,63,8,8,0,"{""Z1"": 0, ""Z2"": 1, ""Z3"": 3, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 2, ""Z8"": 0, ""Z9"": 1}",True,True,0,0,52,0,0,1906.166,0.0,0.0,0.0,0.0,0.0,0.0,686.541,8,9.9445,14.667,0,0,0,False,False
47,P0_no_policy,fleet_8,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,31,51,12,0.010526,0.326316,0.536842,0.126316,13,12,1,1,1,1,1,0,0,0,0,0,7.339,8.376,31,0.607843,29.353,9.958,63.285,8.169,51,1.0,13,0,0.0,46,0.730159,718.941,31,37,68,12,730.941,0.7513,17.13,32,63,8,8,0,"{""Z1"": 0, ""Z2"": 1, ""Z3"": 2, ""Z4"": 0, ""Z5"": 1, ""Z6"": 2, ""Z7"": 2, ""Z8"": 0, ""Z9"": 0}",True,True,39,1,51,0,0,2069.834,0.0,0.0,0.0,0.0,0.0,1397.858844,794.209,8,10.730615,21.722,1,0,0,True,False
47,P0_no_policy,fleet_6,W0,normal,workday,50,52,51,0.980769,38,37,0.973684,0,0,0,97,97,0,1.0,1,54,37,5,0.010309,0.556701,0.381443,0.051546,6,5,1,1,1,1,1,0,2,1,0,1,6.521,7.588,19,0.513514,25.456,10.333,63.27,4.503,50,0.961538,29,2,0.068966,33,0.52381,718.941,54,21,75,5,723.941,0.728387,17.092,34,63,6,6,0,"{""Z1"": 0, ""Z2"": 1, ""Z3"": 2, ""Z4"": 0, ""Z5"": 0, ""Z6"": 1, ""Z7"": 1, ""Z8"": 0, ""Z9"": 1}",True,True,0,0,52,0,0,1940.166,0.0,0.0,0.0,0.0,0.0,0.0,704.541,6,11.9445,20.0,1,0,0,True,False
47,P0_no_policy,fleet_6,W2,heavy_rain,workday,50,52,52,1.0,38,38,1.0,0,0,0,95,95,0,1.0,1,31,52,11,0.010526,0.326316,0.547368,0.115789,13,11,2,2,2,2,2,0,0,0,0,0,7.339,8.331,31,0.596154,29.353,10.136,63.544,7.932,51,1.0,13,0,0.0,47,0.746032,718.941,31,37,68,11,729.941,0.750025,17.005,32,63,6,6,0,"{""Z1"": 0, ""Z2"": 1, ""Z3"": 1, ""Z4"": 0, ""Z5"": 1, ""Z6"": 2, ""Z7"": 1, ""Z8"": 0, ""Z9"": 0}",True,True,39,1,51,0,0,2103.834,0.0,0.0,0.0,0.0,0.0,1419.858844,812.209,6,11.653692,21.722,2,0,0,True,False
