agent_id,age_group,work_status,medical_need_level,day_of_week,is_weekend,activity_id,activity_sequence,sequence_order,activity_purpose,home_zone,destination_zone,planned_start_datetime,planned_end_datetime,is_mandatory,baseline_cancel_probability
1,18-39,regular_worker,,Tuesday,False,activity-1-2026-07-07-002,2,1,work,Z3,Z1,2026-07-07 09:30:00,2026-07-07 19:30:00,True,0.03
1,18-39,regular_worker,,Saturday,True,activity-1-2026-07-11-007,7,1,visit,Z3,Z3,2026-07-11 11:30:00,2026-07-11 13:30:00,False,0.16
1,18-39,regular_worker,,Saturday,True,activity-1-2026-07-11-008,8,2,social_leisure,Z3,Z2,2026-07-11 16:00:00,2026-07-11 18:00:00,False,0.24
2,18-39,regular_worker,,Tuesday,False,activity-2-2026-07-07-003,3,1,work,Z7,Z7,2026-07-07 10:30:00,2026-07-07 19:30:00,True,0.03
2,18-39,regular_worker,,Saturday,True,activity-2-2026-07-11-007,7,1,out_of_home_family_care,Z7,Z2,2026-07-11 11:00:00,2026-07-11 13:00:00,False,0.08
3,18-39,regular_worker,,Tuesday,False,activity-3-2026-07-07-002,2,1,work,Z2,Z3,2026-07-07 09:00:00,2026-07-07 17:00:00,True,0.03
3,18-39,regular_worker,,Saturday,True,activity-3-2026-07-11-007,7,1,social_leisure,Z2,Z2,2026-07-11 12:00:00,2026-07-11 13:00:00,False,0.24
3,18-39,regular_worker,,Saturday,True,activity-3-2026-07-11-008,8,2,out_of_home_family_activity,Z2,Z1,2026-07-11 15:30:00,2026-07-11 21:30:00,False,0.12
4,18-39,regular_worker,,Tuesday,False,activity-4-2026-07-07-003,3,1,work,Z4,Z4,2026-07-07 10:30:00,2026-07-07 19:30:00,True,0.03
5,18-39,regular_worker,,Tuesday,False,activity-5-2026-07-07-002,2,1,work,Z4,Z1,2026-07-07 10:30:00,2026-07-07 20:30:00,True,0.03
5,18-39,regular_worker,,Saturday,True,activity-5-2026-07-11-006,6,1,social_leisure,Z4,Z4,2026-07-11 13:00:00,2026-07-11 17:00:00,False,0.24
5,18-39,regular_worker,,Saturday,True,activity-5-2026-07-11-007,7,2,shopping,Z4,Z4,2026-07-11 18:30:00,2026-07-11 20:00:00,False,0.15
6,18-39,flexible_non_worker,,Saturday,True,activity-6-2026-07-11-005,5,1,out_of_home_family_activity,Z6,Z6,2026-07-11 16:30:00,2026-07-11 18:30:00,False,0.12
7,18-39,regular_worker,,Tuesday,False,activity-7-2026-07-07-002,2,1,work,Z1,Z1,2026-07-07 09:30:00,2026-07-07 18:00:00,True,0.03
7,18-39,regular_worker,,Saturday,True,activity-7-2026-07-11-007,7,1,social_leisure,Z1,Z2,2026-07-11 09:30:00,2026-07-11 12:30:00,False,0.24
7,18-39,regular_worker,,Saturday,True,activity-7-2026-07-11-008,8,2,social_leisure,Z1,Z3,2026-07-11 15:00:00,2026-07-11 21:00:00,False,0.24
8,18-39,regular_worker,,Tuesday,False,activity-8-2026-07-07-002,2,1,work,Z6,Z6,2026-07-07 09:00:00,2026-07-07 18:00:00,True,0.03
8,18-39,regular_worker,,Saturday,True,activity-8-2026-07-11-007,7,1,social_leisure,Z6,Z6,2026-07-11 10:30:00,2026-07-11 22:30:00,False,0.24
9,18-39,regular_worker,,Tuesday,False,activity-9-2026-07-07-002,2,1,work,Z7,Z3,2026-07-07 09:00:00,2026-07-07 17:00:00,True,0.03
