leg_id,agent_id,request_time,dispatch_priority,origin_zone,destination_zone,succeeded,failure_reason,dispatch_time,pickup_wait_min,vehicle_id,idle_vehicles_at_request,busy_start,busy_until,previous_busy_until,idle_vehicles_after_dispatch,weather_scenario,day_type,policy
16-2026-07-07-L01,16,533.35,0.57786575,Z1,Z3,True,,533.35,10.0,N9RH-workday-Z1-001,3,533.35,559.984134,0.0,2,W0,workday,P0_no_policy
42-2026-07-07-L02,42,1050.0,0.687664051,Z2,Z2,True,,1050.0,11.0,N9RH-workday-Z2-001,2,1050.0,1072.850364,0.0,1,W0,workday,P0_no_policy
8-2026-07-07-L02,8,1080.0,0.675503416,Z6,Z6,True,,1080.0,14.667,N9RH-workday-Z6-001,2,1080.0,1109.696408,0.0,1,W0,workday,P0_no_policy
13-2026-07-07-L02,13,1168.3833333333334,0.995584516,Z2,Z2,True,,1168.3833333333334,8.0,N9RH-workday-Z2-001,2,1168.3833333333334,1189.9956243333334,1072.850364,1,W0,workday,P0_no_policy
1-2026-07-07-L02,1,1170.0,0.7824326,Z1,Z3,True,,1170.0,8.0,N9RH-workday-Z1-002,2,1170.0,1194.426547,0.0,1,W0,workday,P0_no_policy
13-2026-07-07-L03,13,1260.0,0.597322975,Z2,Z2,True,,1260.0,8.0,N9RH-workday-Z2-001,2,1260.0,1276.272992,1189.9956243333334,1,W0,workday,P0_no_policy
12-2026-07-11-L01,12,724.7,0.662622551,Z5,Z5,True,,724.7,8.0,N9RH-rest_day-Z5-001,1,724.7,739.9990600000001,0.0,0,W0,rest_day,P0_no_policy
33-2026-07-11-L01,33,743.2666666666667,0.126766255,Z4,Z4,True,,743.2666666666667,8.0,N9RH-rest_day-Z4-001,1,743.2666666666667,769.9996196666666,0.0,0,W0,rest_day,P0_no_policy
5-2026-07-11-L01,5,748.7333333333333,0.874961281,Z4,Z4,False,vehicle_wait_limit_exceeded,,20.0,,0,,,,,W0,rest_day,P0_no_policy
19-2026-07-11-L02,19,840.0,0.010100892,Z3,Z3,True,,840.0,6.0,N9RH-rest_day-Z3-001,2,840.0,851.455819,0.0,1,W0,rest_day,P0_no_policy
10-2026-07-11-L02,10,960.0,0.254810964,Z5,Z5,True,,960.0,8.0,N9RH-rest_day-Z5-001,1,960.0,986.866496,739.9990600000001,0,W0,rest_day,P0_no_policy
21-2026-07-11-L02,21,1015.2666666666667,0.788769728,Z9,Z9,True,,1015.2666666666667,14.32,N9RH-rest_day-Z9-001,1,1015.2666666666667,1044.6134756666665,0.0,0,W0,rest_day,P0_no_policy
11-2026-07-11-L03,11,1137.0166666666667,0.282482184,Z5,Z5,True,,1137.0166666666667,10.932,N9RH-rest_day-Z5-001,1,1137.0166666666667,1160.0660926666667,986.866496,0,W0,rest_day,P0_no_policy
22-2026-07-11-L03,22,1140.0,0.161545793,Z5,Z5,False,vehicle_wait_limit_exceeded,,20.0,,0,,,,,W0,rest_day,P0_no_policy
32-2026-07-11-L02,32,1170.0,0.337015448,Z3,Z3,True,,1170.0,8.0,N9RH-rest_day-Z3-001,2,1170.0,1187.584321,851.455819,1,W0,rest_day,P0_no_policy
5-2026-07-11-L03,5,1200.0,0.708095886,Z4,Z4,True,,1200.0,10.667,N9RH-rest_day-Z4-001,1,1200.0,1222.2117799999999,769.9996196666666,0,W0,rest_day,P0_no_policy
16-2026-07-07-L01,16,533.35,0.57786575,Z1,Z3,True,,533.35,10.0,N9RH-workday-Z1-001,3,533.35,559.984134,0.0,2,W1,workday,P0_no_policy
8-2026-07-07-L02,8,1080.0,0.675503416,Z6,Z6,True,,1080.0,14.667,N9RH-workday-Z6-001,2,1080.0,1109.696408,0.0,1,W1,workday,P0_no_policy
13-2026-07-07-L02,13,1168.3833333333334,0.995584516,Z2,Z2,True,,1168.3833333333334,8.0,N9RH-workday-Z2-001,2,1168.3833333333334,1189.9956243333334,0.0,1,W1,workday,P0_no_policy
1-2026-07-07-L02,1,1170.0,0.7824326,Z1,Z3,True,,1170.0,8.0,N9RH-workday-Z1-002,2,1170.0,1194.426547,0.0,1,W1,workday,P0_no_policy
13-2026-07-07-L03,13,1260.0,0.597322975,Z2,Z2,True,,1260.0,8.0,N9RH-workday-Z2-001,2,1260.0,1276.272992,1189.9956243333334,1,W1,workday,P0_no_policy
12-2026-07-11-L01,12,724.7,0.662622551,Z5,Z5,True,,724.7,8.0,N9RH-rest_day-Z5-001,1,724.7,739.9990600000001,0.0,0,W1,rest_day,P0_no_policy
33-2026-07-11-L01,33,743.2666666666667,0.126766255,Z4,Z4,True,,743.2666666666667,8.0,N9RH-rest_day-Z4-001,1,743.2666666666667,769.9996196666666,0.0,0,W1,rest_day,P0_no_policy
5-2026-07-11-L01,5,748.7333333333333,0.874961281,Z4,Z4,False,vehicle_wait_limit_exceeded,,20.0,,0,,,,,W1,rest_day,P0_no_policy
19-2026-07-11-L01,19,758.5333333333333,0.108487544,Z3,Z3,True,,758.5333333333333,6.0,N9RH-rest_day-Z3-001,2,758.5333333333333,769.9891523333333,0.0,1,W1,rest_day,P0_no_policy
19-2026-07-11-L02,19,840.0,0.010100892,Z3,Z3,True,,840.0,6.0,N9RH-rest_day-Z3-001,2,840.0,851.456015,769.9891523333333,1,W1,rest_day,P0_no_policy
30-2026-07-11-L02,30,840.0,0.116483669,Z1,Z1,True,,840.0,6.0,N9RH-rest_day-Z1-001,2,840.0,850.485411,0.0,1,W1,rest_day,P0_no_policy
3-2026-07-11-L02,3,900.3,0.70135969,Z2,Z1,True,,900.3,6.0,N9RH-rest_day-Z2-001,2,900.3,919.99714,0.0,1,W1,rest_day,P0_no_policy
10-2026-07-11-L02,10,960.0,0.254810964,Z5,Z5,True,,960.0,8.0,N9RH-rest_day-Z5-001,1,960.0,986.866496,739.9990600000001,0,W1,rest_day,P0_no_policy
21-2026-07-11-L02,21,1015.2666666666667,0.788769728,Z9,Z9,True,,1015.2666666666667,14.32,N9RH-rest_day-Z9-001,1,1015.2666666666667,1044.6134756666665,0.0,0,W1,rest_day,P0_no_policy
11-2026-07-11-L03,11,1137.0166666666667,0.282482184,Z5,Z5,True,,1137.0166666666667,10.932,N9RH-rest_day-Z5-001,1,1137.0166666666667,1160.0660926666667,986.866496,0,W1,rest_day,P0_no_policy
22-2026-07-11-L03,22,1140.0,0.161545793,Z5,Z5,False,vehicle_wait_limit_exceeded,,20.0,,0,,,,,W1,rest_day,P0_no_policy
32-2026-07-11-L02,32,1170.0,0.337015448,Z3,Z3,True,,1170.0,8.0,N9RH-rest_day-Z3-001,2,1170.0,1187.584321,851.456015,1,W1,rest_day,P0_no_policy
5-2026-07-11-L03,5,1200.0,0.708095886,Z4,Z4,True,,1200.0,10.667,N9RH-rest_day-Z4-001,1,1200.0,1222.2117799999999,769.9996196666666,0,W1,rest_day,P0_no_policy
32-2026-07-07-L01,32,453.3,0.067648457,Z3,Z2,True,,453.3,7.0,N9RH-workday-Z3-001,2,453.3,501.614478,0.0,1,W2,workday,P0_no_policy
35-2026-07-07-L01,35,472.4166666666667,0.226702172,Z2,Z1,True,,472.4166666666667,7.609,N9RH-workday-Z2-001,2,472.4166666666667,500.62667166666665,0.0,1,W2,workday,P0_no_policy
16-2026-07-07-L01,16,528.9166666666666,0.57786575,Z1,Z3,True,,528.9166666666666,10.0,N9RH-workday-Z1-001,4,528.9166666666666,560.0087706666666,0.0,3,W2,workday,P0_no_policy
21-2026-07-07-L01,21,529.7,0.812074546,Z9,Z6,True,,529.7,21.722,N9RH-workday-Z9-001,1,529.7,615.915849,0.0,0,W2,workday,P0_no_policy
27-2026-07-07-L02,27,1020.0,0.843491112,Z1,Z3,True,,1020.0,7.5,N9RH-workday-Z1-002,3,1020.0,1048.197229,0.0,2,W2,workday,P0_no_policy
42-2026-07-07-L02,42,1050.0,0.687664051,Z2,Z2,True,,1050.0,11.0,N9RH-workday-Z2-002,2,1050.0,1076.02914,0.0,1,W2,workday,P0_no_policy
8-2026-07-07-L02,8,1080.0,0.675503416,Z6,Z6,True,,1080.0,14.667,N9RH-workday-Z6-001,3,1080.0,1113.7279409999999,0.0,2,W2,workday,P0_no_policy
17-2026-07-07-L02,17,1139.6,0.526094895,Z2,Z2,True,,1139.6,8.0,N9RH-workday-Z2-002,2,1139.6,1159.985747,1076.02914,1,W2,workday,P0_no_policy
13-2026-07-07-L02,13,1164.9,0.995584516,Z2,Z2,True,,1164.9,8.0,N9RH-workday-Z2-002,2,1164.9,1189.9966330000002,1159.985747,1,W2,workday,P0_no_policy
4-2026-07-07-L02,4,1170.0,0.342143912,Z4,Z4,True,,1170.0,10.667,N9RH-workday-Z4-001,1,1170.0,1202.0068609999998,0.0,0,W2,workday,P0_no_policy
1-2026-07-07-L02,1,1170.0,0.7824326,Z1,Z3,True,,1170.0,8.0,N9RH-workday-Z1-003,2,1170.0,1198.475332,0.0,1,W2,workday,P0_no_policy
10-2026-07-07-L02,10,1221.15,0.921162443,Z3,Z5,True,,1221.15,8.0,N9RH-workday-Z1-001,4,1221.15,1279.983375,560.0087706666666,3,W2,workday,P0_no_policy
13-2026-07-07-L03,13,1260.0,0.597322975,Z2,Z2,True,,1260.0,8.0,N9RH-workday-Z2-002,2,1260.0,1277.193022,1189.9966330000002,1,W2,workday,P0_no_policy
1-2026-07-11-L01,1,661.3166666666667,0.548813171,Z3,Z3,True,,661.3166666666667,6.0,N9RH-rest_day-Z3-001,2,661.3166666666667,679.9952656666667,0.0,1,W2,rest_day,P0_no_policy
