agent_id,age_group,age_range,is_elder,digital_access,family_assistance,segment,smartphone_access,coupon_awareness_probability,coupon_claim_probability,independent_ride_hailing,home_zone,work_status,medical_need_level
1,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z3,regular_worker,
2,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
3,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
4,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z4,regular_worker,
5,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z4,regular_worker,
6,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,flexible_non_worker,
7,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z1,regular_worker,
8,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
9,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
10,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
11,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
12,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z5,regular_worker,
13,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
14,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z6,regular_worker,
15,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
16,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z1,regular_worker,
17,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z8,regular_worker,
18,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z7,regular_worker,
19,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z3,flexible_non_worker,
20,18-39,"[18, 39]",False,True,,18-39,True,,,True,Z2,regular_worker,
21,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z9,regular_worker,
22,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z5,regular_worker,
23,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z5,flexible_non_worker,
24,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z7,regular_worker,
25,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z7,regular_worker,
26,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z8,regular_worker,
27,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z3,regular_worker,
28,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z4,regular_worker,
29,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z6,regular_worker,
30,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z1,regular_worker,
31,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z2,regular_worker,
32,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z3,regular_worker,
33,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z4,regular_worker,
34,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z7,regular_worker,
35,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z2,regular_worker,
36,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z6,regular_worker,
37,40-59,"[40, 59]",False,True,,40-59,True,,,True,Z3,regular_worker,
38,60+,"[60, 99]",True,True,True,60+,True,,,,Z8,retired,high
39,60+,"[60, 99]",True,True,True,60+,True,,,,Z6,retired,standard
40,60+,"[60, 99]",True,False,True,60+,True,,,,Z5,part_time_worker,low
41,60+,"[60, 99]",True,False,True,60+,False,,,,Z7,retired,standard
42,60+,"[60, 99]",True,True,True,60+,True,,,,Z2,retired,standard
43,60+,"[60, 99]",True,True,True,60+,True,,,,Z9,retired,standard
44,60+,"[60, 99]",True,False,True,60+,False,,,,Z4,retired,high
45,60+,"[60, 99]",True,False,True,60+,True,,,,Z2,retired,standard
46,60+,"[60, 99]",True,True,True,60+,True,,,,Z5,part_time_worker,low
47,60+,"[60, 99]",True,False,True,60+,True,,,,Z3,retired,standard
48,60+,"[60, 99]",True,False,True,60+,True,,,,Z3,retired,standard
49,60+,"[60, 99]",True,True,False,60+,True,,,,Z7,retired,standard
50,60+,"[60, 99]",True,False,True,60+,True,,,,Z4,retired,low
