leg_id,agent_id,date,day,leg_role,activity_id,purpose,origin_zone,destination_zone,departure_time,planned_activity_start_time,earliest_feasible_departure,reliability_buffer_min,expected_arrival_time,actual_arrival_time,arrival_delay_minutes,on_time_arrival,activity_completed,metro_origin_accessible,metro_destination_accessible,origin_feeder_mode,destination_feeder_mode,bus_metro_transfer_count,feeder_bus_time_minutes,feeder_bus_wait_minutes,feeder_bus_access_minutes,feeder_bus_in_vehicle_minutes,feeder_bus_fare_yuan,metro_main_time_minutes,origin_feeder_total_time_minutes,origin_feeder_access_minutes,origin_feeder_wait_minutes,destination_feeder_total_time_minutes,destination_feeder_access_minutes,destination_feeder_wait_minutes,final_attempt_departure_time,primary_mode,primary_failed,primary_failure_reason,fallback_attempted,fallback_succeeded,final_mode,transport_succeeded,wait_minutes,failed_attempt_consumed_minutes,cumulative_wait_minutes,access_time_min,transfer_time_min,in_vehicle_time_min,total_travel_time_min,fare_yuan,final_speed_kmh,scenario_vc,weather_type_at_departure,weather_scenario,day_type,policy,outdoor_exposure_minutes,heat_hazard_dose_c_min,age_vulnerability_weight,heat_risk_burden,rain_exposure_minutes
1-2026-07-07-L01,1,2026-07-07,Tuesday,outbound,activity-1-2026-07-07-002,work,Z3,Z1,2026-07-07 08:20:14.049240,2026-07-07 09:30:00,2026-07-07 07:30:00,5.0,2026-07-07 09:25:00,2026-07-07 09:25:00,0.0,True,True,False,False,bus,bus,2,37.174,8.0,16.0,13.174,4.0,17.592,18.587,8.0,4.0,18.587,8.0,4.0,2026-07-07 08:20:14.049240,metro,False,,False,False,metro,True,12.5,0.0,12.5,16.0,10.0,26.266,64.766,8.0,24.984,,normal,W0,workday,P0_no_policy,28.5,0.0,1.0,0.0,0.0
1-2026-07-07-L02,1,2026-07-07,Tuesday,return_home,activity-1-2026-07-07-002,return_home,Z1,Z3,2026-07-07 19:30:00,,,8.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 19:30:00,ride_hailing,False,,False,False,ride_hailing,True,8.0,0.0,8.0,2.0,0.0,16.427,26.427,26.52,27.896,0.681928,normal,W0,workday,P0_no_policy,8.0,0.0,1.0,0.0,0.0
10-2026-07-07-L01,10,2026-07-07,Tuesday,outbound,activity-10-2026-07-07-003,work,Z5,Z3,2026-07-07 08:24:47.123760,2026-07-07 10:00:00,2026-07-07 08:00:00,5.0,2026-07-07 09:55:00,2026-07-07 09:55:00,0.0,True,True,False,True,bus,walk,1,28.693,5.714,12.0,10.979,2.0,56.522,28.693,12.0,5.714,0.0,0.0,0.0,2026-07-07 08:24:47.123760,metro,False,,False,False,metro,True,11.114,0.0,11.114,20.0,5.0,54.101,90.215,7.0,30.947,,normal,W0,workday,P0_no_policy,31.114,0.0,1.0,0.0,0.0
10-2026-07-07-L02,10,2026-07-07,Tuesday,between_activities,activity-10-2026-07-07-004,social_leisure,Z3,Z5,2026-07-07 20:00:00,2026-07-07 21:30:00,2026-07-07 20:00:00,10.0,2026-07-07 21:53:15.255840,2026-07-07 21:53:15.255840,23.254,False,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 20:00:00,bus,False,,False,False,bus,True,11.0,0.0,11.0,10.0,0.0,92.254,113.254,2.0,17.996,0.313333,normal,W0,workday,P0_no_policy,21.0,0.0,1.0,0.0,0.0
10-2026-07-07-L03,10,2026-07-07,Tuesday,return_home,activity-10-2026-07-07-004,return_home,Z5,Z5,2026-07-07 22:30:00,,,3.0,,,,,,True,True,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 22:30:00,walk,False,,False,False,walk,True,0.0,0.0,0.0,0.0,0.0,53.625,53.625,0.0,4.8,,normal,W0,workday,P0_no_policy,53.625,0.0,1.0,0.0,0.0
11-2026-07-07-L01,11,2026-07-07,Tuesday,outbound,activity-11-2026-07-07-004,work,Z5,Z7,2026-07-07 07:59:35.400000,2026-07-07 09:00:00,2026-07-07 07:00:00,5.0,2026-07-07 08:55:00,2026-07-07 08:55:00,0.0,True,True,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,55.41,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 07:59:35.400000,metro,False,,False,False,metro,True,6.048,0.0,6.048,20.0,0.0,29.362,55.41,5.0,35.0,,normal,W0,workday,P0_no_policy,26.048,0.0,1.0,0.0,0.0
11-2026-07-07-L02,11,2026-07-07,Tuesday,return_home,activity-11-2026-07-07-004,return_home,Z7,Z5,2026-07-07 17:00:00,,,5.0,,,,,,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,52.482,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 17:00:00,metro,False,,False,False,metro,True,3.12,0.0,3.12,20.0,0.0,29.362,52.482,5.0,35.0,,normal,W0,workday,P0_no_policy,23.12,0.0,1.0,0.0,0.0
12-2026-07-07-L01,12,2026-07-07,Tuesday,outbound,activity-12-2026-07-07-002,work,Z5,Z7,2026-07-07 06:13:02.921160,2026-07-07 08:00:00,2026-07-07 06:00:00,10.0,2026-07-07 07:49:43.335060,2026-07-07 07:49:43.335060,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 06:13:02.921160,bus,False,,False,False,bus,True,15.714,0.0,15.714,10.0,0.0,70.959,96.674,2.0,15.931,0.313333,normal,W0,workday,P0_no_policy,25.714,0.0,1.0,0.0,0.0
12-2026-07-07-L02,12,2026-07-07,Tuesday,return_home,activity-12-2026-07-07-002,return_home,Z7,Z5,2026-07-07 17:00:00,,,5.0,,,,,,True,False,walk,bus,1,28.65,5.714,12.0,10.936,2.0,40.482,0.0,0.0,0.0,28.65,12.0,5.714,2026-07-07 17:00:00,metro,False,,False,False,metro,True,8.834,0.0,8.834,20.0,5.0,40.298,74.132,7.0,29.596,,normal,W0,workday,P0_no_policy,28.834,0.0,1.0,0.0,0.0
13-2026-07-07-L01,13,2026-07-07,Tuesday,outbound,activity-13-2026-07-07-002,work,Z2,Z2,2026-07-07 07:53:20.700000,2026-07-07 08:30:00,2026-07-07 06:30:00,5.0,2026-07-07 08:25:00,2026-07-07 08:25:00,0.0,True,True,True,True,walk,walk,0,0.0,0.0,0.0,0.0,0.0,31.655,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 07:53:20.700000,metro,False,,False,False,metro,True,4.5,0.0,4.5,16.0,0.0,11.155,31.655,4.0,35.0,,normal,W0,workday,P0_no_policy,20.5,0.0,1.0,0.0,0.0
13-2026-07-07-L02,13,2026-07-07,Tuesday,between_activities,activity-13-2026-07-07-003,shopping,Z2,Z2,2026-07-07 19:28:23.262540,2026-07-07 20:00:00,2026-07-07 18:00:00,8.0,2026-07-07 19:52:00,2026-07-07 19:52:00,0.0,True,True,False,False,,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-07 19:28:23.262540,ride_hailing,False,,False,False,ride_hailing,True,8.0,0.0,8.0,2.0,0.0,13.612,23.612,22.99,27.896,0.681928,normal,W0,workday,P0_no_policy,8.0,0.0,1.0,0.0,0.0
