leg_id,agent_id,request_time,dispatch_priority,origin_zone,destination_zone,succeeded,failure_reason,dispatch_time,pickup_wait_min,vehicle_id,idle_vehicles_at_request,busy_start,busy_until,previous_busy_until,idle_vehicles_after_dispatch,weather_scenario,day_type,policy
16-2026-07-07-L01,16,533.35,0.57786575,Z1,Z3,True,,533.35,10.0,N9RH-workday-Z1-001,3,533.35,559.984134,0.0,2,W0,workday,P0_no_policy
42-2026-07-07-L02,42,1050.0,0.687664051,Z2,Z2,True,,1050.0,11.0,N9RH-workday-Z2-001,2,1050.0,1072.850364,0.0,1,W0,workday,P0_no_policy
8-2026-07-07-L02,8,1080.0,0.675503416,Z6,Z6,True,,1080.0,14.667,N9RH-workday-Z6-001,2,1080.0,1109.696408,0.0,1,W0,workday,P0_no_policy
13-2026-07-07-L02,13,1168.3833333333334,0.995584516,Z2,Z2,True,,1168.3833333333334,8.0,N9RH-workday-Z2-001,2,1168.3833333333334,1189.9956243333334,1072.850364,1,W0,workday,P0_no_policy
1-2026-07-07-L02,1,1170.0,0.7824326,Z1,Z3,True,,1170.0,8.0,N9RH-workday-Z1-002,2,1170.0,1194.426547,0.0,1,W0,workday,P0_no_policy
13-2026-07-07-L03,13,1260.0,0.597322975,Z2,Z2,True,,1260.0,8.0,N9RH-workday-Z2-001,2,1260.0,1276.272992,1189.9956243333334,1,W0,workday,P0_no_policy
12-2026-07-11-L01,12,724.7,0.662622551,Z5,Z5,True,,724.7,8.0,N9RH-rest_day-Z5-001,1,724.7,739.9990600000001,0.0,0,W0,rest_day,P0_no_policy
33-2026-07-11-L01,33,743.2666666666667,0.126766255,Z4,Z4,True,,743.2666666666667,8.0,N9RH-rest_day-Z4-001,1,743.2666666666667,769.9996196666666,0.0,0,W0,rest_day,P0_no_policy
5-2026-07-11-L01,5,748.7333333333333,0.874961281,Z4,Z4,False,vehicle_wait_limit_exceeded,,20.0,,0,,,,,W0,rest_day,P0_no_policy
19-2026-07-11-L02,19,840.0,0.010100892,Z3,Z3,True,,840.0,6.0,N9RH-rest_day-Z3-001,2,840.0,851.455819,0.0,1,W0,rest_day,P0_no_policy
10-2026-07-11-L02,10,960.0,0.254810964,Z5,Z5,True,,960.0,8.0,N9RH-rest_day-Z5-001,1,960.0,986.866496,739.9990600000001,0,W0,rest_day,P0_no_policy
21-2026-07-11-L02,21,1015.2666666666667,0.788769728,Z9,Z9,True,,1015.2666666666667,14.32,N9RH-rest_day-Z9-001,1,1015.2666666666667,1044.6134756666665,0.0,0,W0,rest_day,P0_no_policy
11-2026-07-11-L03,11,1137.0166666666667,0.282482184,Z5,Z5,True,,1137.0166666666667,10.932,N9RH-rest_day-Z5-001,1,1137.0166666666667,1160.0660926666667,986.866496,0,W0,rest_day,P0_no_policy
22-2026-07-11-L03,22,1140.0,0.161545793,Z5,Z5,False,vehicle_wait_limit_exceeded,,20.0,,0,,,,,W0,rest_day,P0_no_policy
32-2026-07-11-L02,32,1170.0,0.337015448,Z3,Z3,True,,1170.0,8.0,N9RH-rest_day-Z3-001,2,1170.0,1187.584321,851.455819,1,W0,rest_day,P0_no_policy
5-2026-07-11-L03,5,1200.0,0.708095886,Z4,Z4,True,,1200.0,10.667,N9RH-rest_day-Z4-001,1,1200.0,1222.2117799999999,769.9996196666666,0,W0,rest_day,P0_no_policy
